Date,Open,High,Low,Close,Adj Close,Volume
29-04-2022,3597,3623.25,3536.850098,3546.699951,3435.041748,2051115
02-05-2022,3519.899902,3547.949951,3492.75,3542.399902,3430.876953,1324161
04-05-2022,3538.5,3545.449951,3465.300049,3479.75,3370.199463,2305825
05-05-2022,3512.100098,3533,3485.350098,3513.399902,3402.789795,1612262
06-05-2022,3459,3474.5,3424.5,3432.600098,3324.533691,2010812
09-05-2022,3398,3456,3346.850098,3445.100098,3336.640381,2481830
10-05-2022,3434,3464.800049,3422,3438.75,3330.48999,1622685
11-05-2022,3435,3448.449951,3382.149902,3412,3304.582275,1841769
12-05-2022,3378,3449.699951,3350.100098,3408.649902,3301.337891,2807195
13-05-2022,3435,3439.899902,3382.149902,3414.899902,3307.390869,2187823
16-05-2022,3415,3430,3366.600098,3376.800049,3270.490479,1195813
17-05-2022,3370,3467,3350.399902,3451.600098,3342.935547,1754076
18-05-2022,3465,3495,3443.050049,3448.800049,3340.223877,1866781
19-05-2022,3397,3405,3230,3261.949951,3159.256104,4642963
20-05-2022,3310,3313.899902,3270.050049,3293,3189.328369,3065125
23-05-2022,3304.800049,3338.899902,3267,3321.75,3217.17334,2293690
24-05-2022,3315.149902,3324.850098,3275.600098,3288,3184.486084,1711510
25-05-2022,3292.850098,3292.850098,3154.050049,3167.649902,3088.590576,3548046
26-05-2022,3191,3241.5,3180.550049,3226.949951,3146.410645,2813186
27-05-2022,3253.199951,3278.899902,3229.199951,3261.300049,3179.90332,3103153
30-05-2022,3297,3386.600098,3286.350098,3375.25,3291.009521,2094624
31-05-2022,3354.149902,3383.399902,3325,3364.350098,3280.381592,4840965
01-06-2022,3388,3388,3340.050049,3355.199951,3271.459717,1493835
02-06-2022,3355,3432,3346.300049,3423,3337.567871,2657939
03-06-2022,3459.399902,3477.300049,3431.199951,3440.149902,3354.289551,1913622
06-06-2022,3418,3453,3377.149902,3430.949951,3345.319336,1084210
07-06-2022,3401.050049,3418.850098,3356,3362.699951,3278.772461,2308256
08-06-2022,3380.149902,3413.949951,3346.5,3404.149902,3319.187988,2185707
09-06-2022,3385,3437,3353.100098,3427.100098,3341.565186,1279197
10-06-2022,3382,3393,3352,3359.899902,3276.04248,1527582
13-06-2022,3290,3293,3192.449951,3219.600098,3139.244141,3030921
14-06-2022,3190,3238.899902,3174.699951,3210.550049,3130.419922,2611493
15-06-2022,3218.5,3234,3201,3206.300049,3126.276123,1404536
16-06-2022,3240,3244.850098,3133.050049,3142,3063.581055,2032028
17-06-2022,3092,3118.75,3023.850098,3088.899902,3011.806152,5240434
20-06-2022,3094,3138.75,3069,3112.399902,3034.719727,1502769
21-06-2022,3130,3237.75,3125.399902,3211.949951,3131.784912,2964461
22-06-2022,3199.899902,3250.550049,3183,3222.949951,3142.510254,3336315
23-06-2022,3222.949951,3318,3222.949951,3308.800049,3226.217773,3692578
24-06-2022,3339,3345,3277.5,3293.100098,3210.909668,2132118
27-06-2022,3350,3362.899902,3306.5,3314.699951,3231.970459,2037686
28-06-2022,3307,3330,3272.600098,3318.149902,3235.334229,1400046
29-06-2022,3271,3333,3271,3290.5,3208.374512,2133994
30-06-2022,3272,3310.899902,3255,3267.100098,3185.558594,2719603
01-07-2022,3260,3333,3252.050049,3315.100098,3232.36084,1502879
04-07-2022,3312,3317.949951,3225.050049,3235.050049,3154.308594,2622535
05-07-2022,3255,3272,3206.949951,3216.300049,3136.026611,2170627
06-07-2022,3218.5,3268.5,3202.25,3260.75,3179.366943,2182144
07-07-2022,3271,3319.399902,3265.050049,3287.850098,3205.790771,1989921
08-07-2022,3300,3305,3250,3265.449951,3183.949707,2136916
11-07-2022,3206.149902,3225,3106,3113.800049,3036.084717,6974600
12-07-2022,3114.899902,3136.199951,3080.25,3084.699951,3007.710938,3734815
13-07-2022,3104,3110,3035,3038.75,2962.907959,3863530
14-07-2022,3056,3057,2967,2998.75,2931.624023,4764908
15-07-2022,3018.550049,3028.899902,2953,2994.600098,2927.567139,4574806
18-07-2022,3023,3076.949951,3014.300049,3063.5,2994.924805,3202795
19-07-2022,3030.050049,3078.949951,3030.050049,3074.25,3005.434082,1865074
20-07-2022,3107.800049,3171.949951,3098.050049,3164.800049,3093.957275,3402251
21-07-2022,3167,3184,3144.050049,3177.300049,3106.17749,2420640
22-07-2022,3185,3197,3143.5,3171,3100.018311,2075886
25-07-2022,3165,3186.449951,3149.100098,3166.75,3095.863525,1797504
26-07-2022,3164.699951,3168.899902,3096.5,3115.899902,3046.151855,2639367
27-07-2022,3115,3194.100098,3110,3188.850098,3117.468994,1389808
28-07-2022,3216,3264,3201.649902,3260.5,3187.515137,2106333
29-07-2022,3290,3317.300049,3275,3301.899902,3227.988281,2430257
01-08-2022,3327,3327,3271,3298.800049,3224.957764,1306913
02-08-2022,3290,3312.899902,3271.649902,3291.800049,3218.114502,1269114
03-08-2022,3280,3349,3277.050049,3339.5,3264.746826,2895824
04-08-2022,3350,3387.899902,3307.350098,3354.949951,3279.850586,2150567
05-08-2022,3361.199951,3377,3355,3365.050049,3289.724854,1106933
08-08-2022,3365,3378.899902,3336,3374.449951,3298.914307,1068836
10-08-2022,3385,3385,3335,3354.25,3279.166504,1878359
11-08-2022,3400,3428.699951,3375.050049,3422.5,3345.888672,1449248
12-08-2022,3419,3419,3381.25,3401.550049,3325.407715,1472354
16-08-2022,3411,3414.850098,3387.5,3392.699951,3316.755615,839942
17-08-2022,3385.100098,3417.949951,3371.100098,3401.100098,3324.967773,1622326
18-08-2022,3390,3392,3362,3381.25,3305.562012,1430659
19-08-2022,3387,3421.5,3371.25,3385.75,3309.961426,1398410
22-08-2022,3365,3384.100098,3347.399902,3354.550049,3279.459961,1536532
23-08-2022,3319.949951,3341.899902,3270,3284.600098,3211.075684,1849256
24-08-2022,3292,3308,3250.199951,3255.350098,3182.480225,1691923
25-08-2022,3276,3278.149902,3214.75,3218.199951,3146.161865,1946930
26-08-2022,3234.300049,3257,3216.800049,3222.199951,3150.072266,1457962
29-08-2022,3125,3142.699951,3081,3132.550049,3062.429199,2539173
30-08-2022,3155,3226.5,3142.100098,3211.149902,3139.269775,3431525
01-09-2022,3190,3190,3121,3131.699951,3061.598145,3546935
02-09-2022,3163,3163,3120.300049,3130.399902,3060.327393,2052900
05-09-2022,3123.649902,3147.949951,3112.25,3133.399902,3063.26001,2147912
06-09-2022,3135.5,3140.850098,3106.350098,3127.050049,3057.052246,1936453
07-09-2022,3102,3161.899902,3102,3149.600098,3079.097656,1291534
08-09-2022,3170,3183.5,3160.100098,3169.649902,3098.69873,1346113
09-09-2022,3195,3233.5,3168.5,3217.649902,3145.624023,1561185
12-09-2022,3239.899902,3269.800049,3225,3242.949951,3170.35791,1785928
13-09-2022,3263.449951,3263.449951,3225,3229.350098,3157.062256,1972678
14-09-2022,3135,3141.399902,3113.800049,3120.399902,3050.551025,5090269
15-09-2022,3130,3137.75,3100,3104.350098,3034.860596,2138023
16-09-2022,3076,3094.350098,3000,3008.699951,2941.351318,5322221
19-09-2022,3036,3042,2987.800049,3028.800049,2961.001709,2072220
20-09-2022,3050,3079.949951,3030,3040.300049,2972.244141,1544295
21-09-2022,3028,3041.399902,2998.149902,3001.199951,2934.019531,2253818
22-09-2022,2990,3029.949951,2979.300049,3007.399902,2940.080566,2017983
23-09-2022,3004,3022.5,2979,2982.050049,2915.298096,2652374
26-09-2022,2959.850098,3025.850098,2926.100098,2994.399902,2927.371338,2925489
27-09-2022,3009.399902,3025,2976,3017.449951,2949.905518,2227447
28-09-2022,2980,3049.949951,2980,3035.649902,2967.697998,2739767
29-09-2022,3054,3055.850098,2990,2997.300049,2930.206787,2493902
30-09-2022,2990.850098,3019.699951,2950.100098,3004.550049,2937.294434,2817353
03-10-2022,2995,3020.699951,2974,2984.949951,2918.133057,1763331
04-10-2022,3029.949951,3098,3023,3091.149902,3021.955811,2145875
06-10-2022,3111,3124,3092.449951,3101.949951,3032.513916,1790816
07-10-2022,3097.399902,3105,3058.100098,3064.899902,2996.293457,1939879
10-10-2022,3010,3127,3005,3118.550049,3048.742676,3064063
11-10-2022,3100,3145,3053.350098,3069.550049,3000.839355,4730645
12-10-2022,3084.899902,3109.899902,3062.050049,3100.75,3031.341064,1665247
13-10-2022,3100.75,3110,3052.350098,3103.300049,3033.833984,2054781
14-10-2022,3145,3150,3071,3099.149902,3029.776611,2245977
17-10-2022,3072.649902,3128.399902,3071.449951,3111.75,3049.967773,1517005
18-10-2022,3150,3155.350098,3128.550049,3144.699951,3082.263672,1793722
19-10-2022,3159,3159,3112,3121.850098,3059.867432,1194289
20-10-2022,3105,3160,3105,3157.300049,3094.613525,1587601
21-10-2022,3157.800049,3160.399902,3127,3137.399902,3075.108398,1021913
24-10-2022,3170.100098,3178,3155,3161.699951,3098.926025,260949
25-10-2022,3180.5,3184.25,3151.149902,3162.100098,3099.318115,2069643
27-10-2022,3160.699951,3174,3134.350098,3157.399902,3094.711426,2438421
28-10-2022,3150,3178.5,3145,3163.25,3100.445313,1355739
31-10-2022,3199,3199,3177.800049,3193.149902,3129.751465,1919414
01-11-2022,3214.5,3262.600098,3203.449951,3259.699951,3194.980225,2991060
02-11-2022,3270,3270,3222.050049,3241.699951,3177.337646,1405955
03-11-2022,3228.050049,3228.050049,3195,3206.75,3143.081543,1422652
04-11-2022,3217,3220.050049,3166.149902,3217.399902,3153.52002,1464013
07-11-2022,3229,3242.800049,3195.100098,3233.699951,3169.496582,1474498
09-11-2022,3249.800049,3249.800049,3201.649902,3216.050049,3152.197021,1162267
10-11-2022,3170,3225,3170,3205.649902,3142.003418,1573092
11-11-2022,3269.600098,3341.600098,3255.050049,3315.949951,3250.113525,3265394
14-11-2022,3324,3349,3309,3335.5,3269.275391,1342074
15-11-2022,3321,3339.949951,3292,3332.600098,3266.433105,1400708
16-11-2022,3338.899902,3367.899902,3321.449951,3355.350098,3288.731445,1748235
17-11-2022,3340,3360,3317.75,3349,3282.507324,1417986
18-11-2022,3350,3362.75,3321,3343.449951,3277.067383,1164540
21-11-2022,3322.5,3333.699951,3273,3283.5,3218.307861,1304194
22-11-2022,3280,3318.949951,3255.25,3314.949951,3249.133301,1149739
23-11-2022,3330,3330,3291,3308.300049,3242.615479,1150011
24-11-2022,3316.25,3392.949951,3308.300049,3380.149902,3313.038818,1296591
25-11-2022,3383,3403.350098,3348,3389.649902,3322.350098,1588981
28-11-2022,3366,3417,3365.550049,3395.25,3327.839111,2195437
29-11-2022,3383,3429,3383,3397.350098,3329.897461,1576028
30-11-2022,3383,3414.899902,3375,3390.800049,3323.477539,3410702
01-12-2022,3425,3480,3420,3475.649902,3406.642578,2180856
02-12-2022,3458.100098,3468.899902,3413,3439.149902,3370.867432,2411749
05-12-2022,3433,3439.149902,3407,3425.899902,3357.880371,1475065
06-12-2022,3400.050049,3407.949951,3368,3385.350098,3318.135742,1166999
07-12-2022,3368.300049,3393.699951,3354,3380.600098,3313.47998,1167505
08-12-2022,3360,3380.600098,3339.449951,3350.550049,3284.026611,1285619
09-12-2022,3374.100098,3374.100098,3276.350098,3292.75,3227.374023,1797896
12-12-2022,3255.5,3296,3236.100098,3286.449951,3221.199219,1527610
13-12-2022,3277.199951,3336.449951,3267.800049,3332.100098,3265.942871,1378016
14-12-2022,3348.800049,3377,3340.899902,3365.350098,3298.532715,1213311
15-12-2022,3358.800049,3364.75,3298.949951,3305.100098,3239.479004,1415694
16-12-2022,3275,3292,3225.199951,3240.25,3175.916504,2703680
19-12-2022,3227,3245.5,3194.5,3202.050049,3138.475098,2120965
20-12-2022,3198.899902,3249,3163.649902,3243.949951,3179.542969,1529971
21-12-2022,3249,3283.050049,3240,3268.550049,3203.654785,1432566
22-12-2022,3294,3294,3245.100098,3259.699951,3194.980225,1384101
23-12-2022,3217,3266.850098,3217,3228.350098,3164.25293,1360281
26-12-2022,3228.350098,3272,3225.050049,3252.899902,3188.315186,870157
27-12-2022,3269.199951,3273.800049,3231.5,3259.5,3194.784424,835883
28-12-2022,3249.800049,3266.100098,3226,3257.100098,3192.432129,910795
29-12-2022,3231.100098,3271.5,3228,3268.75,3203.850586,1037927
30-12-2022,3286.050049,3299,3246.199951,3256.699951,3192.039795,1163131
02-01-2023,3261,3266.850098,3235.199951,3261.449951,3196.695557,709547
03-01-2023,3252,3320,3245.300049,3311.350098,3245.60498,1245178
04-01-2023,3306.699951,3327.350098,3286.199951,3314.649902,3248.839111,1231668
05-01-2023,3330.199951,3337.300049,3281.949951,3311.100098,3245.359863,1826057
06-01-2023,3300,3301.550049,3200,3211.550049,3147.786377,2488376
09-01-2023,3229,3327,3221.149902,3319.949951,3254.033936,2885060
10-01-2023,3285,3298,3230.100098,3286.399902,3221.150146,3864655
11-01-2023,3290.100098,3349.5,3271.149902,3328.699951,3262.610352,2720512
12-01-2023,3329,3350,3315.550049,3334.350098,3268.148193,2250391
13-01-2023,3342.899902,3379,3305,3374.550049,3307.550049,1742837
16-01-2023,3317,3353,3298.050049,3334.050049,3334.050049,1843607
17-01-2023,3330,3381.800049,3321,3378.399902,3378.399902,1688475
18-01-2023,3380,3408.949951,3372.25,3390,3390,2421189
19-01-2023,3380,3387,3361,3373.100098,3373.100098,1585044
20-01-2023,3365,3394.649902,3355.600098,3363.100098,3363.100098,1529349
23-01-2023,3388,3419,3355.600098,3414.899902,3414.899902,1067916
24-01-2023,3425,3451.949951,3417.300049,3436.300049,3436.300049,1387863
25-01-2023,3425.300049,3435,3405,3429.75,3429.75,874110
27-01-2023,3426,3446,3382.300049,3411.050049,3411.050049,1785879
30-01-2023,3420,3458.449951,3385.550049,3433.649902,3433.649902,1953798
31-01-2023,3449,3449,3351,3358.699951,3358.699951,2820375
01-02-2023,3363,3419,3355,3408.350098,3408.350098,2205161
02-02-2023,3427,3469,3420.100098,3460.399902,3460.399902,1813847
03-02-2023,3504,3504,3452.899902,3482.300049,3482.300049,1804469
06-02-2023,3473.149902,3473.149902,3436.850098,3459.949951,3459.949951,1138714
07-02-2023,3468.899902,3493,3461.399902,3472.550049,3472.550049,1455647
08-02-2023,3478.050049,3539.899902,3478.050049,3520.100098,3520.100098,1986946
09-02-2023,3515,3547.600098,3505.300049,3540.850098,3540.850098,1655427
10-02-2023,3520,3542.350098,3508.149902,3537.550049,3537.550049,1187821
13-02-2023,3549,3549,3473.399902,3482.399902,3482.399902,1087939
14-02-2023,3505,3524.850098,3495,3500.100098,3500.100098,1579818
15-02-2023,3487,3526,3460.149902,3520.649902,3520.649902,1429449
16-02-2023,3527.199951,3575,3527,3558.050049,3558.050049,1618931
17-02-2023,3526.149902,3538.899902,3490,3501.149902,3501.149902,1061369
20-02-2023,3502,3522,3475.050049,3487.300049,3487.300049,1296082
21-02-2023,3494,3508.899902,3444.75,3451,3451,1139541
22-02-2023,3414.949951,3447,3395,3401.550049,3401.550049,1218430
23-02-2023,3421,3452.399902,3408,3413.800049,3413.800049,1441570
24-02-2023,3422.5,3433.949951,3382.300049,3400.449951,3400.449951,977592
27-02-2023,3390,3390,3316,3331.850098,3331.850098,1128022
28-02-2023,3328.5,3392,3299.899902,3312.850098,3312.850098,4116217
01-03-2023,3323,3389,3315,3385.699951,3385.699951,1669307
02-03-2023,3361,3369.899902,3318,3321.449951,3321.449951,1556538
03-03-2023,3354,3358,3331.100098,3342.149902,3342.149902,1043190
06-03-2023,3361.899902,3404.949951,3359,3371.850098,3371.850098,1334132
08-03-2023,3364,3396,3330.850098,3390.399902,3390.399902,1844590
09-03-2023,3385,3385,3330.850098,3336.850098,3336.850098,1648500
10-03-2023,3312.899902,3337.25,3290,3331,3331,1024404
13-03-2023,3333,3369.800049,3272,3281.949951,3281.949951,1901233
14-03-2023,3280,3304.399902,3209.399902,3214.949951,3214.949951,2670334
15-03-2023,3250,3260.350098,3192,3198.899902,3198.899902,1780522
16-03-2023,3208,3219.800049,3172,3185,3185,1901060
17-03-2023,3150.5,3221.399902,3144,3179.300049,3179.300049,6739966
20-03-2023,3169.649902,3169.649902,3095.050049,3143.300049,3143.300049,2289468
21-03-2023,3143.300049,3156.75,3097.449951,3106.100098,3106.100098,1815297
22-03-2023,3130.050049,3143.5,3106.100098,3130.800049,3130.800049,1123939
23-03-2023,3114.899902,3146.350098,3101,3124.649902,3124.649902,1372218
24-03-2023,3148.899902,3170,3106,3120.5,3120.5,1329577
27-03-2023,3135,3152.75,3106,3122.300049,3122.300049,1524217
28-03-2023,3127,3149.550049,3110.149902,3115.899902,3115.899902,1303530
29-03-2023,3129,3150,3104.100098,3138.899902,3138.899902,1740616
31-03-2023,3189.949951,3213,3152,3205.899902,3205.899902,2382581
03-04-2023,3224.949951,3224.949951,3173.75,3200,3200,1521830
05-04-2023,3185.5,3264.350098,3185.5,3239.800049,3239.800049,2655065
06-04-2023,3225,3257.350098,3215,3220.699951,3220.699951,1703464
10-04-2023,3220,3272,3215,3263.399902,3263.399902,2203187
11-04-2023,3264,3272.949951,3192.149902,3213.800049,3213.800049,2348779
